Kottu Roti,Chicken Curry,Kottu Roti with Chicken Curry,"Roti,  Vegetables,  Chicken, Coconut Oil, Chilli Powder, Salt, Chicken","30.0, 40.0, 30.0, 2.5, 40.0, 10.0, 5.0","SLB002, SLH006, SLJ002, SLK004, , SLI006",601.8,7.197,62.907,1.512,1.3169999999999997,374.064,0.354,14.985000000000001,0.135,12.812999999999999,63.18900000000001,9.564,24.660000000000004,165.6,313.473,306.186,183.462,0.9690000000000001,0.366
Kottu Roti,Devilled Chicken,Kottu Roti with Devilled Chicken,"Roti,  Vegetables,  Chicken, Coconut Oil, Chilli Powder, Salt, Chicken,  Chili,  Curry leaves","30.0, 40.0, 30.0, 2.5, 50.0, 10.0, 5.0, 0.25, 20.0","SLB002, SLH006, SLJ002, SLK004, , SLI006, SLD060",609.9,7.8,62.985,2.523,2.901,374.064,1.5599999999999996,95.685,0.663,23.375999999999998,73.33200000000001,32.04900000000001,29.895000000000003,274.2,341.67600000000004,307.83,213.399,1.113,0.696
Kottu Roti,Devilled Fish,Kottu Roti with Devilled Fish,"Roti,  Vegetables,  Chicken, Coconut Oil, Chilli Powder, Salt, Fish,  Chili,  Curry leaves","30.0, 40.0, 30.0, 2.5, 50.0, 10.0, 5.0, 0.25, 20.0","SLB002, SLH006, SLJ002, SLK004, , SLF006, SLI006, SLD060",609.9,7.8,62.985,2.523,2.901,374.064,1.5599999999999996,95.685,0.663,23.375999999999998,73.33200000000001,32.04900000000001,29.895000000000003,274.2,341.67600000000004,307.83,213.399,1.113,0.696
Kottu Roti,Seer Fish Curry,Kottu Roti with Seer Fish Curry,"Roti,  Vegetables,  Chicken, Coconut Oil, Chilli Powder, Salt, Seer fish","30.0, 40.0, 30.0, 2.5, 50.0, 25.0, 10.0","SLB002, SLH006, SLJ002, SLK004, , SLF025,  SLI005, SLK002",654.3,14.565,64.689,3.0869999999999997,2.5889999999999995,410.082,2.2169999999999996,22.164,0.40800000000000003,21.843,171.738,31.656,35.99700000000001,421.2,1021.173,640.428,731.2620000000001,1.2690000000000001,0.942
Kottu Roti,Ginger Chicken,Kottu Roti with Ginger Chicken,"Roti,  Vegetables,  Chicken, Coconut Oil, Chilli Powder, Salt, Chicken","30.0, 40.0, 30.0, 2.5, 50.0, 25.0, 10.0","SLB002, SLH006, SLJ002, SLK004, , SLK012, SLK002",630.3,8.549999999999999,63.378,5.9159999999999995,3.9689999999999994,390.01800000000003,2.8529999999999998,30.537,0.312,25.095,95.037,38.616,29.061000000000003,399.59999999999997,419.673,338.361,421.962,1.6620000000000001,2.091
Kiribath,Fish Ambul Thiyal,Kiribath with Fish Ambul Thiyal,"Rice,  Coconut milk,  Salt, Fish,  Goraka,  Spices","50.0, 30.0, 2.5, 40.0, 0.5, 10.0","SLA009, SLI006, SLF006, SLE027, SLK004",652.0,4.505,51.44,42.475,1.59,0.215,0.215,2.455,0.065,13.58,102.515,20.525,1.275,156.5,426.54,319.18,506.635,1.405,37.745
Kiribath,Dhal Curry,Kiribath with Dhal Curry,"Rice,  Coconut milk,  Salt, Dhal,  Spices","50.0, 50.0, 2.5, 10.0, 5.0","SLA009, SLI006, SLC001, SLK004, SLK019",937.0,18.11,56.24,87.56,20.035000000000004,17.98,8.979999999999999,9.069999999999999,1.705,82.75500000000001,401.0,188.85,24.205,1766.5,1413.04,924.815,2541.635,1.045,79.265
Kiribath,Chicken Curry,Kiribath with Chicken Curry,"Rice,  Coconut milk,  Salt, Chicken,  Spices","50.0, 40.0, 2.5, 40.0, 5.0","SLA009, SLI006, SLH006, SLK004",721.0,15.89,55.68,38.795,1.59,3.44,0.0,17.16,0.15999999999999998,9.895,186.0,25.939999999999998,16.015,235.5,710.04,787.315,509.635,0.09,37.745
Kiribath,Lunu Miris,Kiribath with Lunu Miris,"Rice,  Coconut milk,  Salt, Onion,  Chili","50.0, 30.0, 32.5, 20.0, 50.0","SLA009, SLI006, SLK016, SLE027, SLK011",263.0,7.885,1.51,53.35,4.355,0.215,1.095,3.465,0.09,20.905,153.515,32.56,6.584999999999999,345.0,398.255,322.545,537.565,3.8550000000000004,45.589999999999996
Kiribath,Seeni Sambol,Kiribath with Seeni Sambol,"Rice,  Coconut milk,  Salt, Onion,  Sugar,  chillii","50.0, 30.0, 2.5, 50.0, 5.0, 5.0","SLA009, SLI006, SLK016, SLK004",633.0,4.32,51.06,38.795,1.59,0.0,0.0,1.335,0.045,2.365,97.5,15.85,0.8049999999999999,84.5,321.04,295.315,332.135,0.09,37.745
